ID,DIVISION,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Skpk1,Belconnen,Emu Bank Pedestrian Parkland,,,-35.239332,149.072554,"(-35.239332, 149.072554)"
Skpk16,Campbell,White Crescent Neighbourhood Park,,,-35.288843,149.155446,"(-35.288843, 149.155446)"
Skpk11,Charnwood,Barnes Place Neighbourhood Park,,,-35.196038,149.038845,"(-35.196038, 149.038845)"
Skpk6,City,Ballumbir Street,,,-35.27813,149.13462,"(-35.27813, 149.13462)"
Skpk9,Fadden,Fadden Pines District Park,,,-35.409974,149.120424,"(-35.409974, 149.120424)"
Skpk19,Flynn,George Simpson Park Surround,,,-35.207598,149.044027,"(-35.207598, 149.044027)"
Skpk3,Greenway,Tuggeranong Town Park,,,-35.410104,149.064239,"(-35.410104, 149.064239)"
Skpk12,Gungahlin,Yerrabi District Park,,,-35.178893,149.131016,"(-35.178893, 149.131016)"
Skpk2,Gungahlin,Yerrabi District Park,,,-35.180126,149.129395,"(-35.180126, 149.129395)"
Skpk10,Holt,Moyes Cresent Pedestrian Parkland,,,-35.22112,149.020255,"(-35.22112, 149.020255)"
Skpk14,Kambah,Kambah District Park,,,-35.392839,149.063552,"(-35.392839, 149.063552)"
Skpk17,Macarthur,Hawkesworth Place Neighbourhood Park,,,-35.408198,149.129023,"(-35.408198, 149.129023)"
Skpk7,Phillip,Eddison Town Park,,,-35.339971,149.091375,"(-35.339971, 149.091375)"
Skpk18,Richardson,Clift Crescent Pedestrian Parkland,,,-35.427073,149.115193,"(-35.427073, 149.115193)"
Skpk15,Rivett,Sollya Place Pedestrian Parkland,,,-35.349358,149.032661,"(-35.349358, 149.032661)"
Skpk13,Stirling,Sherratt Place Pedestrian Parkland,,,-35.349766,149.045266,"(-35.349766, 149.045266)"
Skpk8,Wanniassa,Creman Close Pedestrian Parkland,,,-35.402487,149.097508,"(-35.402487, 149.097508)"
Skpk4,Weston,Dillon Close - Pedestrian Parkland,,,-35.337431,149.053905,"(-35.337431, 149.053905)"
Skpk21,Franklin,Kilmeny Close Community Park (Crip),,,-35.196972,149.143726,"(-35.196972, 149.143726)"
Skpk20,Conder,Sidney Nolan Street,,,-35.458384,149.094805,"(-35.458384, 149.094805)"
Skpk5,Barton,Telopea Park,,,-35.316038,149.136052,"(-35.316038, 149.136052)"
