Suburb,population,schools,recreation
Aranda,2505,3,2
Belconnen,2867,1,6
Bruce,7785,1,0
Charnwood,3032,5,4
Cook,2821,0,2
Dunlop,7398,0,2
Evatt,5332,5,5
Kowen,40,0,0
Florey,5033,4,2
Flynn,3466,1,3
Fraser,2128,2,1
Giralang,3320,2,2
Gooromon,4,0,0
Hawker,2841,4,4
Higgins,2988,0,1
Holt,4829,5,6
Kaleen,7505,7,4
Majura,253,0,0
Latham,3419,2,2
Lawson,803,0,1
Macgregor,6642,2,2
Macquarie,2747,3,3
McKellar,2874,0,1
Melba,3166,4,4
Page,2903,1,1
Hall,339,1,2
Scullin,2838,3,1
Spence,2564,2,2
Weetangera,2578,2,1
ACT South West,6470,0,0
Molonglo,718,0,0
Namadgi,31,0,0
Mitchell,9,0,0
ACT East,868,0,0
Hume,320,0,0
Amaroo,5913,5,3
Bonner,5436,1,1
Casey,5024,0,0
Crace,4279,0,2
Forde,4552,1,5
Franklin,6653,2,2
Harrison,9005,5,4
Ngunnawal,10623,2,3
Nicholls,6760,7,4
Palmerston,5623,3,2
Acton,2325,0,1
Ainslie,5321,4,4
Braddon,6011,2,0
Lake Burley Griffin,0,0,0
Campbell,5769,5,2
Civic,3995,0,0
Dickson,2351,5,2
Downer,3705,1,2
Hackett,2877,2,3
Parkes,0,0,0
Lyneham,5038,4,5
O'Connor,5701,7,5
Reid,1826,1,2
Turner,4127,3,2
Watson,6326,3,1
Deakin,2728,5,4
Forrest,1655,1,0
Griffith,4308,3,1
Narrabundah,6176,5,8
Red Hill,3257,6,1
Yarralumla,2840,3,4
Banks,4888,0,1
Bonython,3698,2,3
Calwell,5605,4,3
Chisholm,5145,4,3
Conder,5029,4,4
Fadden,3012,2,2
Gilmore,2724,2,1
Gordon,7626,3,3
Gowrie,2969,3,2
Greenway,1903,0,5
Isabella Plains,4331,4,1
Kambah,14874,8,13
Macarthur,1425,0,3
Monash,5317,2,1
Mount Taylor,3,0,0
Oxley,1723,0,0
Richardson,2930,2,2
Theodore,3828,2,1
Tuggeranong,31,2,0
Wanniassa,7458,11,5
Chapman,2595,2,2
Duffy,3083,2,2
Fisher,2894,0,0
Holder,2545,2,2
Rivett,2893,0,3
Stirling,1989,1,5
Waramanga,2373,4,4
Weston,3354,3,4
Chifley,2732,1,3
Curtin,5313,4,2
Farrer,3422,2,1
Garran,3417,5,1
Hughes,2968,3,1
Isaacs,2331,0,1
Lyons,3186,3,2
Mawson,3055,3,4
O'Malley,975,1,1
Pearce,2468,5,1
Phillip,2444,1,7
Torrens,2165,2,2
Gungahlin,2867,2,6
Barton,2867,2,2
Kingston,2867,0,2
