Suburb,Crimes,Unemployment
Aranda,125,4.1
Belconnen,656,3.7
Bruce,202,4.1
Charnwood,87,4.2
Cook,82,4.1
Dunlop,73,4.2
Evatt,105,3.7
Florey,144,
Flynn,33,4.3
Fraser,46,4.2
Giralang,53,3.7
Hawker,100,4.1
Higgins,55,4.3
Holt,219,4.3
Kaleen,106,3.7
Latham,78,4.3
Lawson,28,
Macgregor,78,4.2
Macquarie,117,4.1
McKellar,32,3.7
Melba,80,4.2
Page,64,4.1
Scullin,56,4.1
Spence,55,4.3
Weetangera,38,4.1
Amaroo,43,3.9
Bonner,43,
Casey ,75,
Crace,33,
Forde,27,
Franklin,101,
Gungahlin,293,2.6
Hall,13,2.7
Harrison,107,1.8
Mitchell,138,
Ngunnawal,95,3.1
Nicholls,82,3.1
Palmerston,74,3.1
Acton,142,4.4
Ainslie,131,4.9
Braddon,232,
Campbell,79,7.3
City,925,4.3
Dickson,200,4.9
Downer,35,4.9
Hackett,80,4.9
Lyneham,232,4.8
Majura,49,2.2
O'Connor,154,4.9
Parkes,45,
Reid,163,7.4
Turner,99,7.5
Watson,143,4.8
Deakin,101,1.9
Forrest,30,3.7
Griffith,183,3
Narrabundah,113,4
Red Hill,63,3.7
Yarralumla,98,1.8
Chapman,20,2.7
Duffy,28,2.8
Fisher,27,2.8
Holder,30,2.8
Rivett,49,2.8
Stirling,29,2.7
Waramanga,34,2.8
Weston,101,2.8
Molonglo,4,
Chifley,55,4.1
Curtin,116,2.1
Farrer,17,2.4
Garran,99,2.1
Hughes,39,2.1
Isaacs,23,2.4
Lyons,125,4.1
Mawson,84,2.4
O'Malley,13,4.1
Pearce,19,2.4
Phillip,300,4.1
Torrens,11,2.4
Banks,36,3.3
Bonython,84,3.4
Calwell,92,3.4
Chisholm,110,3.4
Conder,76,3.3
Fadden,40,2.1
Gilmore,46,3.4
Gordon,102,3.3
Gowrie,59,2
Greenway,291,7.1
Isabella Plains,60,3.4
Kambah,391,3.8
Macarthur,13,2.1
Monash,51,2
Oxley,24,3.2
Richardson,96,3.4
Theodore,32,3.4
Wanniassa,262,3.2
Hume,62,
